industry,num_code,full_code,index
金融,000001,SZ000001,SH000076
房地产,000002,SZ000002,SZ399965
信息技术,000004,SZ000004,SH000077
房地产,000006,SZ000006,SZ399965
房地产,000007,SZ000007,SZ399965
工业,000008,SZ000008,SH000072
工业,000009,SZ000009,SH000072
工业,000010,SZ000010,SH000072
房地产,000011,SZ000011,SZ399965
原材料,000012,SZ000012,SH000071
房地产,000014,SZ000014,SZ399965
可选消费,000016,SZ000016,SH000073
可选消费,000017,SZ000017,SH000073
工业,000019,SZ000019,SH000072
信息技术,000020,SZ000020,SH000077
信息技术,000021,SZ000021,SH000077
房地产,000025,SZ000025,SZ399965
可选消费,000026,SZ000026,SH000073
公用事业,000027,SZ000027,SH000079
医药卫生,000028,SZ000028,SH000075
房地产,000029,SZ000029,SZ399965
可选消费,000030,SZ000030,SH000073
房地产,000031,SZ000031,SZ399965
工业,000032,SZ000032,SH000072
可选消费,000034,SZ000034,SH000073
工业,000035,SZ000035,SH000072
房地产,000036,SZ000036,SZ399965
公用事业,000037,SZ000037,SH000079
工业,000039,SZ000039,SH000072
房地产,000042,SZ000042,SZ399965
信息技术,000045,SZ000045,SH000077
房地产,000048,SZ000048,SZ399965
工业,000049,SZ000049,SH000072
信息技术,000050,SZ000050,SH000077
工业,000055,SZ000055,SH000072
房地产,000056,SZ000056,SZ399965
工业,000058,SZ000058,SH000072
能源,000059,SZ000059,SH000070
原材料,000060,SZ000060,SH000071
工业,000061,SZ000061,SH000072
工业,000062,SZ000062,SH000072
通信服务,000063,SZ000063,SH000078
工业,000065,SZ000065,SH000072
信息技术,000066,SZ000066,SH000077
工业,000068,SZ000068,SH000072
可选消费,000069,SZ000069,SH000073
通信服务,000070,SZ000070,SH000078
医药卫生,000078,SZ000078,SH000075
工业,000088,SZ000088,SH000072
工业,000089,SZ000089,SH000072
工业,000090,SZ000090,SH000072
能源,000096,SZ000096,SH000070
工业,000099,SZ000099,SH000072
通信服务,0001.HK,SZ0001.HK,SH000078
信息技术,000100,SZ000100,SH000077
工业,000151,SZ000151,SH000072
医药卫生,000153,SZ000153,SH000075
公用事业,000155,SZ000155,SH000079
通信服务,000156,SZ000156,SH000078
工业,000157,SZ000157,SH000072
信息技术,000158,SZ000158,SH000077
能源,000159,SZ000159,SH000070
金融,000166,SZ000166,SH000076
公用事业,0002.HK,SZ0002.HK,SH000079
公用事业,0003.HK,SZ0003.HK,SH000079
原材料,000301,SZ000301,SH000071
可选消费,000333,SZ000333,SH000073
工业,000338,SZ000338,SH000072
房地产,0004.HK,SZ0004.HK,SZ399965
工业,000400,SZ000400,SH000072
原材料,000401,SZ000401,SH000071
房地产,000402,SZ000402,SZ399965
医药卫生,000403,SZ000403,SH000075
可选消费,000404,SZ000404,SH000073
公用事业,000407,SZ000407,SH000079
原材料,000408,SZ000408,SH000071
信息技术,000409,SZ000409,SH000077
工业,000410,SZ000410,SH000072
医药卫生,000411,SZ000411,SH000075
工业,000415,SZ000415,SH000072
可选消费,000417,SZ000417,SH000073
可选消费,000419,SZ000419,SH000073
原材料,000420,SZ000420,SH000071
公用事业,000421,SZ000421,SH000079
原材料,000422,SZ000422,SH000071
医药卫生,000423,SZ000423,SH000075
工业,000425,SZ000425,SH000072
原材料,000426,SZ000426,SH000071
可选消费,000428,SZ000428,SH000073
工业,000429,SZ000429,SH000072
可选消费,000430,SZ000430,SH000073
原材料,000488,SZ000488,SH000071
工业,000498,SZ000498,SH000072
金融,0005.HK,SZ0005.HK,SH000076
可选消费,000501,SZ000501,SH000073
信息技术,000503,SZ000503,SH000077
医药卫生,000504,SZ000504,SH000075
主要消费,000505,SZ000505,SH000074
原材料,000506,SZ000506,SH000071
公用事业,000507,SZ000507,SH000079
信息技术,000509,SZ000509,SH000077
原材料,000510,SZ000510,SH000071
医药卫生,000513,SZ000513,SH000075
房地产,000514,SZ000514,SZ399965
医药卫生,000516,SZ000516,SH000075
房地产,000517,SZ000517,SZ399965
医药卫生,000518,SZ000518,SH000075
工业,000519,SZ000519,SH000072
工业,000520,SZ000520,SH000072
可选消费,000521,SZ000521,SH000073
主要消费,000523,SZ000523,SH000074
可选消费,000524,SZ000524,SH000073
原材料,000525,SZ000525,SH000071
可选消费,000526,SZ000526,SH000073
工业,000528,SZ000528,SH000072
主要消费,000529,SZ000529,SH000074
工业,000530,SZ000530,SH000072
公用事业,000531,SZ000531,SH000079
金融,000532,SZ000532,SH000076
工业,000533,SZ000533,SH000072
医药卫生,000534,SZ000534,SH000075
信息技术,000536,SZ000536,SH000077
公用事业,000537,SZ000537,SH000079
医药卫生,000538,SZ000538,SH000075
公用事业,000539,SZ000539,SH000079
可选消费,000541,SZ000541,SH000073
公用事业,000543,SZ000543,SH000079
工业,000544,SZ000544,SH000072
